Interpretation of reaching definitions for bst_search.c

Block B11 IN: variable 'parent' may be defined by D8, D7
Block B11 OUT: variable 'parent' may be defined by D8, D7
Block B12 IN: variable 'parent' may be defined by D8, D7
Block B15 IN: variable 'cur' may be defined by D10, D9
Block B15 OUT: variable 'cur' may be defined by D10, D9
Block B19 IN: variable 'right' may be defined by D12, D5
Block B19 OUT: variable 'right' may be defined by D12, D5
Block B25 IN: variable 'cur' may be defined by D14, D13
Block B57 IN: variable 'next' may be defined by D26, D28
Block B57 OUT: variable 'next' may be defined by D26, D28
Block B58 IN: variable 'next' may be defined by D26, D28
Block B58 OUT: variable 'next' may be defined by D26, D28
Block B59 IN: variable 'next' may be defined by D26, D28
Block B59 OUT: variable 'next' may be defined by D26, D28
Block B60 IN: variable 'head' may be defined by D31, D27
Block B60 IN: variable 'next' may be defined by D26, D28
Block B60 OUT: variable 'next' may be defined by D26, D28
Block B60 OUT: variable 'head' may be defined by D27, D31
Block B61 IN: variable 'next' may be defined by D26, D28
Block B61 IN: variable 'head' may be defined by D27, D31
Block B61 OUT: variable 'next' may be defined by D26, D28
Block B61 OUT: variable 'head' may be defined by D27, D31
Block B62 IN: variable 'next' may be defined by D26, D28
Block B62 IN: variable 'head' may be defined by D27, D31
Block B62 OUT: variable 'next' may be defined by D26, D28
Block B63 IN: variable 'next' may be defined by D26, D28
Block B63 OUT: variable 'next' may be defined by D26, D28
Block B64 IN: variable 'next' may be defined by D26, D28
Block B64 OUT: variable 'next' may be defined by D26, D28
Block B65 IN: variable 'next' may be defined by D26, D28
Block B65 OUT: variable 'next' may be defined by D26, D28
Block B66 IN: variable 'next' may be defined by D26, D28
Block B66 OUT: variable 'next' may be defined by D26, D28
Block B67 IN: variable 'next' may be defined by D26, D28
Block B67 OUT: variable 'next' may be defined by D26, D28
Block B68 IN: variable 'next' may be defined by D26, D28
Block B68 OUT: variable 'next' may be defined by D26, D28
Block B69 IN: variable 'next' may be defined by D26, D28
Block B69 OUT: variable 'next' may be defined by D26, D28
Block B70 IN: variable 'next' may be defined by D26, D28
Block B70 OUT: variable 'next' may be defined by D26, D28
Block B71 IN: variable 'next' may be defined by D26, D28
