iteration,block,gen,kill,in,out
1,B0,{D1},{D34},{},{D1}
1,B1,{},{},{D1},{D1}
1,B2,"{D2, D3}","{D11, D15, D20, D4, D51}",{D1},"{D1, D2, D3}"
1,B3,{},{},{D1},{D1}
1,B4,{},{},{D1},{D1}
1,B5,{D4},"{D11, D15, D3, D51}",{D1},"{D1, D4}"
1,B6,{D5},"{D12, D16, D21, D52}","{D1, D4}","{D1, D4, D5}"
1,B7,{},{},"{D1, D4, D5}","{D1, D4, D5}"
1,B8,{},{},"{D1, D4, D5}","{D1, D4, D5}"
1,B9,{},{},"{D1, D4, D5}","{D1, D4, D5}"
1,B10,"{D6, D7}","{D10, D13, D14, D35, D38, D39, D42, D45, D46, D8, D9}","{D1, D4, D5}","{D1, D4, D5, D6, D7}"
1,B11,{},{},"{D1, D4, D5, D6, D7}","{D1, D4, D5, D6, D7}"
1,B12,{D8},{D7},"{D1, D4, D5, D6, D7}","{D1, D4, D5, D6, D8}"
1,B13,{D9},"{D10, D13, D14, D35, D38, D39, D42, D45, D46, D6}","{D1, D4, D5, D6, D8}","{D1, D4, D5, D8, D9}"
1,B14,{D10},"{D13, D14, D35, D38, D39, D42, D45, D46, D6, D9}","{D1, D4, D5, D8, D9}","{D1, D10, D4, D5, D8}"
1,B15,{},{},"{D1, D10, D4, D5, D8, D9}","{D1, D10, D4, D5, D8, D9}"
1,B16,{},{},"{D1, D10, D4, D5, D8}","{D1, D10, D4, D5, D8}"
1,B17,{D11},"{D15, D3, D4, D51}","{D1, D10, D4, D5, D8}","{D1, D10, D11, D5, D8}"
1,B18,{D12},"{D16, D21, D5, D52}","{D1, D10, D11, D5, D8}","{D1, D10, D11, D12, D8}"
1,B19,{},{},"{D1, D10, D11, D12, D5, D8}","{D1, D10, D11, D12, D5, D8}"
1,B20,{},{},{},{}
1,B21,{},{},{},{}
1,B22,{},{},{},{}
1,B23,{},{},{},{}
1,B24,{D13},"{D10, D14, D35, D38, D39, D42, D45, D46, D6, D9}",{},{D13}
1,B25,{D14},"{D10, D13, D35, D38, D39, D42, D45, D46, D6, D9}",{D13},{D14}
1,B26,{},{},{D14},{D14}
1,B27,{},{},{},{}
1,B28,{},{},{},{}
1,B29,{D15},"{D11, D3, D4, D51}",{},{D15}
1,B30,{D16},"{D12, D21, D5, D52}",{D15},"{D15, D16}"
1,B31,{},{},"{D15, D16}","{D15, D16}"
1,B32,{},{},"{D15, D16}","{D15, D16}"
1,B33,{D17},"{D18, D19}","{D15, D16}","{D15, D16, D17}"
1,B34,{D18},"{D17, D19}","{D15, D16}","{D15, D16, D18}"
1,B35,"{D19, D20, D21}","{D12, D16, D17, D18, D2, D5, D52}",{},"{D19, D20, D21}"
1,B36,{},{},{},{}
1,B37,{},{},{},{}
1,B38,{},{},{},{}
1,B39,{},{},{},{}
1,B40,{},{},{},{}
1,B41,{},{},{},{}
1,B42,{},{},{},{}
1,B43,{},{},{},{}
1,B44,"{D22, D23}",{},{},"{D22, D23}"
1,B45,{},{},{},{}
1,B46,{},{},{},{}
1,B47,{},{},{},{}
1,B48,{},{},{},{}
1,B49,{},{},{},{}
1,B50,{},{},{},{}
1,B51,{},{},{},{}
1,B52,{D24},{},{},{D24}
1,B53,{},{},{D24},{D24}
1,B54,"{D25, D26}",{D28},{D24},"{D24, D25, D26}"
1,B55,{D27},"{D31, D33}","{D24, D25, D26}","{D24, D25, D26, D27}"
1,B56,{D28},{D26},"{D24, D25, D26, D27}","{D24, D25, D27, D28}"
1,B57,{},{},"{D24, D25, D26, D27, D28}","{D24, D25, D26, D27, D28}"
1,B58,{},{},"{D24, D25, D26, D27, D28}","{D24, D25, D26, D27, D28}"
1,B59,"{D29, D30, D31}","{D27, D33}","{D24, D25, D26, D27, D28}","{D24, D25, D26, D28, D29, D30, D31}"
1,B60,{D32},{},"{D24, D25, D26, D27, D28, D29, D30, D31}","{D24, D25, D26, D27, D28, D29, D30, D31, D32}"
