iteration,block,gen,kill,in,out
1,B0,{D1},{},{},{D1}
1,B1,{D2},"{D10, D12, D14, D16, D20, D22, D23, D26, D30, D32, D36, D52, D56, D59, D9}",{D1},"{D1, D2}"
1,B2,{D3},{},"{D1, D2}","{D1, D2, D3}"
1,B3,{D4},"{D5, D6, D7, D8}","{D1, D2, D3}","{D1, D2, D3, D4}"
1,B4,{D5},"{D4, D6, D7, D8}","{D1, D2, D3, D4}","{D1, D2, D3, D5}"
1,B5,{D6},"{D4, D5, D7, D8}","{D1, D2, D3, D4, D5}","{D1, D2, D3, D6}"
1,B6,{D7},"{D4, D5, D6, D8}","{D1, D2, D3, D5, D6}","{D1, D2, D3, D7}"
1,B7,{D8},"{D4, D5, D6, D7}","{D1, D2, D3, D6, D7}","{D1, D2, D3, D8}"
1,B8,{},{},"{D1, D2, D3, D7, D8}","{D1, D2, D3, D7, D8}"
1,B9,{D9},"{D10, D12, D14, D16, D2, D20, D22, D23, D26, D30, D32, D36, D52, D56, D59}","{D1, D2, D3, D7, D8}","{D1, D3, D7, D8, D9}"
1,B10,{},{},"{D1, D3, D7, D8, D9}","{D1, D3, D7, D8, D9}"
1,B11,{D10},"{D12, D14, D16, D2, D20, D22, D23, D26, D30, D32, D36, D52, D56, D59, D9}","{D1, D3, D7, D8, D9}","{D1, D10, D3, D7, D8}"
1,B12,{},{},"{D1, D10, D3, D7, D8}","{D1, D10, D3, D7, D8}"
1,B13,{D11},"{D21, D24, D48, D57, D58, D60}","{D1, D10, D3, D7, D8}","{D1, D10, D11, D3, D7, D8}"
1,B14,{},{},"{D1, D10, D11, D3, D7, D8}","{D1, D10, D11, D3, D7, D8}"
1,B15,{},{},"{D1, D10, D11, D3, D7, D8}","{D1, D10, D11, D3, D7, D8}"
1,B16,{D12},"{D10, D14, D16, D2, D20, D22, D23, D26, D30, D32, D36, D52, D56, D59, D9}","{D1, D10, D11, D3, D7, D8}","{D1, D11, D12, D3, D7, D8}"
1,B17,{D13},"{D15, D50}","{D1, D11, D12, D3, D7, D8}","{D1, D11, D12, D13, D3, D7, D8}"
1,B18,{},{},{},{}
1,B19,{D14},"{D10, D12, D16, D2, D20, D22, D23, D26, D30, D32, D36, D52, D56, D59, D9}",{},{D14}
1,B20,{},{},{D14},{D14}
1,B21,{D15},"{D13, D50}",{D14},"{D14, D15}"
1,B22,{},{},{D14},{D14}
1,B23,{},{},{},{}
1,B24,{D16},"{D10, D12, D14, D2, D20, D22, D23, D26, D30, D32, D36, D52, D56, D59, D9}",{},{D16}
1,B25,{},{},{D16},{D16}
1,B26,{},{},{D16},{D16}
1,B27,{D17},{D18},{D16},"{D16, D17}"
1,B28,"{D18, D19}",{D17},"{D16, D17}","{D16, D18, D19}"
1,B29,{D20},"{D10, D12, D14, D16, D2, D22, D23, D26, D30, D32, D36, D52, D56, D59, D9}","{D16, D18, D19}","{D18, D19, D20}"
1,B30,{},{},"{D18, D19, D20}","{D18, D19, D20}"
1,B31,{},{},"{D18, D19, D20}","{D18, D19, D20}"
1,B32,{},{},"{D18, D19, D20}","{D18, D19, D20}"
1,B33,{},{},"{D18, D19, D20}","{D18, D19, D20}"
